index,StartDateUTC,EndDateUTC
343,2016-01-26 11:03:39.510,2016-01-26 11:25:52.443
344,2016-01-26 11:25:52.443,2016-01-26 11:27:52.433
345,2016-01-26 11:27:52.433,2016-01-26 11:40:55.473
346,2016-01-26 11:40:55.473,2016-01-26 11:44:14.390
347,2016-01-26 11:44:14.390,2016-01-26 11:45:19.370
348,2016-01-26 11:45:19.370,2016-01-26 11:49:10.370
349,2016-01-26 11:49:10.370,2016-01-26 11:59:08.343
350,2016-01-26 11:59:08.343,2016-01-26 12:10:47.313
351,2016-01-26 12:10:47.313,2016-01-26 12:11:10.307
352,2016-01-26 12:11:10.307,2016-01-26 12:17:48.533
353,2016-01-26 12:17:48.533,2016-01-26 12:22:18.790
354,2016-01-26 12:22:18.790,2016-01-26 12:26:54.117
355,2016-01-26 12:26:54.117,2016-01-26 12:37:52.510
356,2016-01-26 12:37:52.510,2016-01-26 12:40:56.430
357,2016-01-26 12:40:56.430,2016-01-26 12:49:40.460
358,2016-01-26 12:49:40.460,2016-01-26 12:55:15.383
359,2016-01-26 12:55:15.383,2016-01-26 13:39:48.743
360,2016-01-26 13:39:48.743,2016-01-26 13:42:55.790
361,2016-01-26 13:42:55.790,2016-01-26 13:48:59.803
362,2016-01-26 13:48:59.803,2016-01-26 13:51:12.693
363,2016-01-26 13:51:12.693,2016-01-26 14:04:28.923
364,2016-01-26 14:04:28.923,2016-01-26 14:06:48.857
365,2016-01-26 14:06:48.857,2016-01-26 14:26:01.923
366,2016-01-26 14:26:01.923,2016-01-26 14:28:59.880
367,2016-01-26 14:28:59.880,2016-01-26 15:06:24.980
368,2016-01-26 15:06:24.980,2016-01-26 15:08:46.977
369,2016-01-26 15:08:46.977,2016-01-26 15:39:43.167
370,2016-01-26 15:39:43.167,2016-01-26 15:41:44.083
371,2016-01-26 15:41:44.083,2016-01-26 15:41:57.100
372,2016-01-26 15:41:57.100,2016-01-26 15:44:56.180
373,2016-01-26 15:44:56.180,2016-01-26 15:47:54.107
374,2016-01-26 15:47:54.107,2016-01-26 15:50:19.310
375,2016-01-26 15:50:19.310,2016-01-26 16:01:35.163
