ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
51630,18.926666666666666,24.10527777777778,6132.0,2016-02-13 06:03:06.707000,2016-02-14 06:09:25.450000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-02-04 06:09:25.450000,2016-02-24 06:09:25.450000,305.0,1.1901817679980378,0.5368934372567298,3
-45,2.1342325,2.1342325,2.1342325,2016-02-14 06:09:25.450000,2016-02-14 08:17:28.687000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77317,2.2638908333333334,2.5633352777777776,667.0,2016-02-14 08:17:28.687000,2016-02-14 10:51:16.180000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-02-07 10:51:16.180000,2016-02-24 10:51:16.180000,305.0,0.66282139241413,0.5501598110708739,5
51631,9.204788888888888,12.4109,2300.0,2016-02-14 10:51:16.180000,2016-02-14 23:15:56.120000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-02-06 23:15:56.120000,2016-02-22 23:15:56.120000,271.0,1.104261427901523,0.9296998731520442,3
51750,8.050277777777778,9.281666666666666,2525.0,2016-02-14 23:15:56.120000,2016-02-15 08:32:50.577000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-02-08 08:32:50.577000,2016-02-22 08:32:50.577000,271.0,0.6715495005744364,1.3976870387408074,2
-48,1.5530905555555556,1.5530905555555556,1.5530905555555556,2016-02-15 08:32:50.577000,2016-02-15 10:06:01.703000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77318,0.025277777777777777,0.12,7.0,2016-02-15 10:06:01.703000,2016-02-15 10:13:13.893000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-02-07 10:13:13.893000,2016-02-23 10:13:13.893000,271.0,0.6765318912615452,1.03387231481815,4
-49,3.6015538888888887,3.6015538888888887,3.6015538888888887,2016-02-15 10:13:13.893000,2016-02-15 13:49:19.487000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77777,0.5308352777777778,1.094446388888889,165.0,2016-02-15 13:49:19.487000,2016-02-15 14:54:59.520000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-02-06 14:54:59.520000,2016-02-24 14:54:59.520000,271.0,0.8009718728100675,0.6462152532988061,6
51468,8.416363888888888,11.521086111111112,2697.0,2016-02-15 14:54:59.520000,2016-02-16 02:26:15.330000,AH BASIC PENNE RIGATE 16X500 G,LARGE,2016-02-09 02:26:15.330000,2016-02-25 02:26:15.330000,305.0,1.061867517241505,1.2276346373483924,8
