ID,StartDateUTC,EndDateUTC
548,2016-04-24 16:04:19.860,2016-04-24 16:06:56.753
549,2016-04-24 16:08:42.630,2016-04-24 16:20:19.610
550,2016-04-24 16:29:21.790,2016-04-24 16:32:29.573
551,2016-04-24 16:37:00.563,2016-04-24 16:55:32.500
552,2016-04-25 04:26:12.183,2016-04-25 04:27:41.170
553,2016-04-25 07:56:12.877,2016-04-25 07:58:18.910
554,2016-04-25 16:07:42.440,2016-04-25 16:17:08.360
555,2016-04-29 10:16:45.583,2016-04-29 10:19:21.727
556,2016-04-29 10:42:03.440,2016-04-29 10:51:00.347
557,2016-04-30 00:28:21.327,2016-04-30 00:46:03.230
558,2016-04-29 12:41:31.670,2016-04-29 12:43:39.270
559,2016-04-29 13:27:23.290,2016-04-29 13:34:54.323
560,2016-04-29 13:39:37.323,2016-04-29 13:42:21.420
561,2016-04-29 18:14:11.187,2016-04-29 18:26:10.207
562,2016-04-29 18:27:03.220,2016-04-29 18:35:58.287
563,2016-04-30 00:46:09.253,2016-04-30 00:47:35.310
564,2016-04-30 00:48:04.253,2016-04-30 00:53:04.280
565,2016-04-30 06:14:10.157,2016-04-30 06:16:40.187
566,2016-04-30 13:50:08.007,2016-04-30 13:52:41.017
567,2016-04-30 14:02:09.973,2016-04-30 14:06:21.987
568,2016-04-30 14:07:40.040,2016-04-30 14:13:53.957
569,2016-05-01 09:54:30.587,2016-05-01 09:54:56.560
570,2016-05-02 01:34:49.020,2016-05-02 01:38:22.057
571,2016-05-02 01:49:28.173,2016-05-02 02:09:43.237
572,2016-05-02 02:12:00.247,2016-05-02 02:21:48.170
573,2016-05-02 03:07:12.327,2016-05-02 03:11:59.503
574,2016-05-02 03:20:19.340,2016-05-02 03:23:05.353
575,2016-05-02 03:36:41.390,2016-05-02 03:41:04.407
576,2016-05-02 08:17:36.140,2016-05-02 08:19:41.273
577,2016-05-02 16:34:45.633,2016-05-02 16:38:28.623
578,2016-05-02 16:45:30.607,2016-05-02 16:48:47.677
579,2016-05-02 23:17:05.830,2016-05-02 23:30:58.940
580,2016-05-02 23:30:58.940,2016-05-02 23:36:52.263
581,2016-05-03 06:40:56.327,2016-05-03 06:43:02.480
582,2016-05-03 07:09:33.360,2016-05-03 07:11:39.537
583,2016-05-03 12:32:44.367,2016-05-03 12:34:50.540
584,2016-05-03 18:14:10.053,2016-05-03 18:20:41.140
585,2016-05-03 18:26:27.930,2016-05-03 18:29:49.003
586,2016-05-04 00:32:04.820,2016-05-04 00:39:46.707
587,2016-05-04 00:39:53.713,2016-05-04 00:48:54.753
588,2016-05-04 06:29:12.347,2016-05-04 06:29:40.313
589,2016-05-07 06:31:10.137,2016-05-07 06:38:41.203
590,2016-05-07 06:56:23.180,2016-05-07 07:02:34.123
591,2016-05-07 07:06:42.043,2016-05-07 07:11:03.037
592,2016-05-07 23:00:34.017,2016-05-07 23:02:39.880
593,2016-05-08 10:07:21.247,2016-05-08 10:07:48.243
594,2016-05-08 10:24:57.300,2016-05-08 10:28:02.207
595,2016-05-09 06:37:51.793,2016-05-09 06:39:56.997
596,2016-05-09 18:02:10.937,2016-05-09 18:03:05.933
597,2016-05-09 18:25:41.890,2016-05-09 18:28:22.637
598,2016-05-09 23:13:34.983,2016-05-09 23:17:12.987
599,2016-05-09 23:24:45.213,2016-05-09 23:27:21.017
600,2016-05-09 23:32:37.223,2016-05-09 23:39:40.173
601,2016-05-10 05:28:00.207,2016-05-10 05:46:18.120
602,2016-05-10 08:32:04.763,2016-05-10 08:34:10.967
603,2016-05-10 18:56:41.840,2016-05-10 18:57:27.810
604,2016-05-10 19:23:11.727,2016-05-10 19:25:45.773
605,2016-05-11 00:07:05.957,2016-05-11 00:12:41.853
606,2016-05-11 00:20:07.923,2016-05-11 00:29:26.997
607,2016-05-11 00:29:33.873,2016-05-11 00:38:16.917
608,2016-05-11 06:37:35.060,2016-05-11 06:38:15.030
609,2016-05-11 12:21:13.790,2016-05-11 12:23:19.403
610,2016-05-11 17:45:46.883,2016-05-11 17:48:49.873
611,2016-05-11 18:12:09.630,2016-05-11 18:14:16.640
612,2016-05-11 23:55:25.783,2016-05-12 00:15:11.683
613,2016-05-12 02:13:55.730,2016-05-12 02:22:40.880
614,2016-05-12 06:27:08.570,2016-05-12 06:30:44.480
615,2016-05-12 06:37:22.890,2016-05-12 06:40:40.527
616,2016-05-12 07:02:37.580,2016-05-12 07:05:37.673
617,2016-05-12 12:41:01.513,2016-05-12 12:43:32.597
618,2016-05-12 13:10:06.680,2016-05-12 13:11:15.643
619,2016-05-12 17:38:37.560,2016-05-12 17:40:43.443
620,2016-05-12 23:24:47.147,2016-05-12 23:40:33.083
621,2016-05-12 23:46:05.063,2016-05-12 23:51:07.050
622,2016-05-13 04:16:06.380,2016-05-13 04:16:38.460
623,2016-05-13 14:43:11.517,2016-05-13 14:45:16.417
624,2016-05-13 20:32:18.430,2016-05-13 20:34:59.423
625,2016-05-13 23:11:30.800,2016-05-13 23:14:04.803
626,2016-05-14 15:22:21.440,2016-05-14 15:24:11.430
627,2016-05-14 16:52:24.997,2016-05-14 16:55:26.873
628,2016-05-14 17:07:16.810,2016-05-14 17:14:29.803
629,2016-05-17 06:15:51.097,2016-05-17 06:18:08.163
630,2016-05-17 06:57:52.290,2016-05-17 07:00:02.263
631,2016-05-17 10:03:14.373,2016-05-17 10:26:54.307
632,2016-05-17 10:32:55.280,2016-05-17 10:39:25.257
633,2016-05-17 12:31:26.117,2016-05-17 12:42:50.980
634,2016-05-17 12:50:54.940,2016-05-17 12:57:11.850
