,ProductionRequestId,TargetProductionRate
348,62601.0,244.0
349,62602.0,244.0
350,62603.0,203.0
351,62759.0,305.0
352,62760.0,244.0
353,62761.0,244.0
354,62762.0,244.0
355,62893.0,244.0
356,62938.0,244.0
357,62994.0,203.0
358,62996.0,244.0
359,63026.0,305.0
360,63027.0,203.0
361,63028.0,244.0
362,63149.0,100.0
363,63150.0,337.0
364,63228.0,244.0
365,63229.0,244.0
366,63231.0,203.0
367,63236.0,203.0
368,63274.0,244.0
369,63312.0,340.0
370,63313.0,340.0
371,63314.0,340.0
372,63397.0,340.0
373,63398.0,340.0
374,63401.0,340.0
375,63428.0,300.0
376,63493.0,340.0
377,63678.0,305.0
378,63679.0,300.0
379,63704.0,244.0
380,63705.0,203.0
381,63706.0,244.0
382,63707.0,244.0
383,63709.0,244.0
384,63977.0,305.0
385,63978.0,244.0
386,63979.0,300.0
387,64036.0,244.0
388,64037.0,244.0
389,64038.0,244.0
390,64039.0,244.0
391,64040.0,244.0
392,64041.0,225.0
393,64248.0,244.0
394,64249.0,337.0
395,64431.0,203.0
396,64499.0,244.0
397,64500.0,244.0
398,64536.0,305.0
399,64610.0,300.0
400,64615.0,244.0
401,64671.0,244.0
402,64720.0,253.0
403,64768.0,244.0
404,64779.0,270.0
405,64780.0,225.0
406,64781.0,305.0
407,64922.0,244.0
408,64923.0,244.0
409,64979.0,244.0
410,64980.0,270.0
411,64981.0,244.0
412,64982.0,270.0
413,64983.0,244.0
414,65012.0,270.0
415,65080.0,270.0
416,65081.0,225.0
417,65220.0,340.0
418,65221.0,340.0
419,65222.0,225.0
420,65223.0,340.0
421,65224.0,305.0
422,65376.0,270.0
423,65377.0,270.0
424,65378.0,225.0
425,65526.0,225.0
426,65531.0,337.0
427,65532.0,305.0
428,65533.0,270.0
429,65534.0,271.0
430,65725.0,270.0
431,65729.0,271.0
432,65804.0,225.0
433,65816.0,270.0
434,65818.0,225.0
435,65823.0,270.0
436,65824.0,244.0
437,65825.0,244.0
438,66096.0,300.0
439,66097.0,244.0
440,66098.0,244.0
441,66150.0,340.0
442,66152.0,340.0
443,66153.0,340.0
444,66154.0,340.0
445,66163.0,340.0
446,66378.0,270.0
447,66379.0,225.0
448,66380.0,225.0
449,66381.0,270.0
450,66382.0,225.0
451,66383.0,270.0
452,66384.0,244.0
453,66385.0,244.0
454,66465.0,271.0
455,66466.0,305.0
456,66467.0,271.0
457,66640.0,340.0
458,66643.0,340.0
459,66647.0,225.0
460,66649.0,225.0
461,66680.0,244.0
462,66681.0,300.0
463,66726.0,340.0
464,66727.0,253.0
465,66728.0,305.0
466,66729.0,225.0
467,66849.0,225.0
468,66850.0,225.0
469,66851.0,225.0
470,66995.0,225.0
471,66999.0,225.0
472,67000.0,270.0
473,67001.0,270.0
474,67002.0,244.0
475,67003.0,244.0
476,67072.0,337.0
477,67185.0,271.0
478,67186.0,271.0
479,67265.0,244.0
480,67266.0,300.0
481,67267.0,270.0
482,67268.0,270.0
483,67270.0,130.0
484,67271.0,130.0
485,67272.0,305.0
486,67338.0,270.0
487,67339.0,270.0
488,67340.0,270.0
489,67341.0,270.0
490,67446.0,244.0
491,67543.0,305.0
492,67544.0,225.0
493,67545.0,225.0
494,67546.0,225.0
495,67547.0,244.0
496,67548.0,225.0
497,67549.0,225.0
498,67550.0,244.0
499,67551.0,270.0
500,67552.0,130.0
501,67553.0,130.0
502,67801.0,300.0
503,67802.0,270.0
504,67803.0,244.0
505,67804.0,270.0
506,67900.0,340.0
507,68900.0,244.0
508,68901.0,244.0
509,69116.0,253.0
510,69117.0,305.0
511,69118.0,340.0
512,69131.0,300.0
513,69182.0,244.0
514,69218.0,270.0
515,69219.0,225.0
516,69220.0,225.0
517,69221.0,270.0
518,69427.0,244.0
519,69428.0,244.0
520,69429.0,244.0
521,69486.0,244.0
522,69620.0,225.0
523,69621.0,225.0
524,69711.0,300.0
525,69713.0,244.0
526,69736.0,340.0
527,69737.0,340.0
528,69752.0,340.0
529,69753.0,340.0
530,69754.0,305.0
531,69755.0,340.0
532,69756.0,340.0
533,69958.0,340.0
534,69995.0,270.0
535,70006.0,340.0
536,70052.0,225.0
537,70075.0,300.0
538,70079.0,244.0
539,70320.0,225.0
540,70321.0,225.0
541,70464.0,270.0
542,70465.0,270.0
543,70466.0,270.0
544,70513.0,340.0
545,70515.0,340.0
546,70516.0,270.0
547,70518.0,270.0
548,70527.0,305.0
549,70563.0,340.0
550,70666.0,340.0
551,70667.0,340.0
552,70740.0,340.0
553,70741.0,340.0
554,70742.0,340.0
555,70743.0,225.0
556,70834.0,340.0
557,70835.0,340.0
558,70836.0,340.0
559,70945.0,225.0
560,70972.0,305.0
561,71016.0,340.0
562,71018.0,340.0
563,71053.0,270.0
564,71054.0,225.0
565,71055.0,225.0
566,71056.0,300.0
567,71057.0,270.0
568,71058.0,244.0
569,71059.0,270.0
570,71060.0,270.0
571,71061.0,244.0
572,71062.0,244.0
573,71351.0,305.0
574,71498.0,244.0
575,71583.0,244.0
576,71584.0,270.0
577,71585.0,244.0
578,71647.0,340.0
579,71648.0,340.0
580,71649.0,340.0
581,71650.0,305.0
582,71651.0,340.0
583,71652.0,340.0
584,71653.0,340.0
585,71654.0,340.0
586,71922.0,340.0
587,71975.0,270.0
588,71977.0,271.0
589,71979.0,340.0
590,72087.0,270.0
591,72090.0,270.0
592,72288.0,225.0
593,72289.0,244.0
594,72290.0,271.0
595,72291.0,270.0
596,72292.0,300.0
597,72368.0,244.0
598,72488.0,225.0
599,72495.0,305.0
600,72496.0,225.0
601,72568.0,320.0
602,72569.0,340.0
603,72595.0,305.0
604,72619.0,340.0
605,72620.0,340.0
606,72698.0,270.0
607,72804.0,340.0
608,72805.0,340.0
609,72806.0,340.0
610,72846.0,244.0
611,72990.0,271.0
612,73063.0,305.0
613,73088.0,300.0
614,73091.0,225.0
