ID,Duration,Start,End,Quantity,Product,Power
217,31.38,2016-07-31 09:17:51.643,2016-08-01 16:40:46.457,3300.0,036647EC,4.62
218,41.5,2016-08-01 16:40:51.283,2016-08-03 10:11:02.540,3100.0,042939EU,4.02
219,41.26,2016-08-03 11:00:45.230,2016-08-05 04:16:08.997,1800.0,036640EC,4.66
220,16.95,2016-08-05 06:39:06.347,2016-08-05 23:36:09.230,2700.0,042943EU,3.04
221,9.04,2016-08-05 23:37:11.760,2016-08-06 08:39:39.643,800.0,037732CH,3.13
222,11.53,2016-08-06 08:53:48.967,2016-08-06 20:25:26.163,2000.0,023732CH,3.94
223,45.8,2016-08-06 20:25:32.697,2016-08-08 18:13:32.287,5700.0,044046EU,3.59
224,30.23,2016-08-08 18:55:08.123,2016-08-10 01:08:41.950,5000.0,044042EU,3.28
225,34.63,2016-08-10 01:12:53.047,2016-08-11 11:50:42.997,3300.0,042548EU,3.67
226,3.53,2016-08-11 11:57:56.093,2016-08-11 15:29:48.013,500.0,041645EU,4.35
227,18.9,2016-08-11 15:29:51.957,2016-08-12 10:24:06.857,2300.0,041646EU,3.72
228,11.03,2016-08-12 10:24:10.800,2016-08-12 21:26:02.630,2000.0,047868CH,4.4
229,34.53,2016-08-12 21:26:07.980,2016-08-14 07:58:09.630,7000.0,044042EU,4.66
230,81.66,2016-08-14 08:01:10.770,2016-08-17 17:40:51.013,6800.0,044046EU,3.77
231,24.82,2016-08-17 17:40:57.463,2016-08-18 18:29:55.260,4100.0,041137EU,4.69
232,15.56,2016-08-18 18:29:59.540,2016-08-19 10:03:17.673,2700.0,028138EU,3.19
233,7.52,2016-08-19 10:03:23.820,2016-08-19 17:34:53.277,1400.0,023738CH,4.83
234,16.3,2016-08-19 17:34:56.973,2016-08-20 09:52:55.120,2700.0,037739CH,3.69
235,23.3,2016-08-20 10:08:12.157,2016-08-21 09:25:56.427,3600.0,044138EU,3.94
236,20.82,2016-08-21 09:27:28.370,2016-08-22 06:16:31.283,5700.0,044046EU,4.91
237,13.65,2016-08-22 08:28:07.923,2016-08-22 22:07:08.520,3400.0,037766EC,4.35
