ID,Duration,Start,End,Power,Factor
226,3.53,2016-08-11 11:57:56.093,2016-08-11 15:29:48.013,49.45,168.41
227,18.9,2016-08-11 15:29:51.957,2016-08-12 10:24:06.857,36.7,138.07
228,11.03,2016-08-12 10:24:10.800,2016-08-12 21:26:02.630,42.11,167.34
229,34.53,2016-08-12 21:26:07.980,2016-08-14 07:58:09.630,40.92,129.18
230,81.66,2016-08-14 08:01:10.770,2016-08-17 17:40:51.013,35.06,168.91
231,24.82,2016-08-17 17:40:57.463,2016-08-18 18:29:55.260,47.79,103.1
232,15.56,2016-08-18 18:29:59.540,2016-08-19 10:03:17.673,49.43,166.22
233,7.52,2016-08-19 10:03:23.820,2016-08-19 17:34:53.277,31.08,179.46
234,16.3,2016-08-19 17:34:56.973,2016-08-20 09:52:55.120,45.82,185.64
235,23.3,2016-08-20 10:08:12.157,2016-08-21 09:25:56.427,42.52,120.29
236,20.82,2016-08-21 09:27:28.370,2016-08-22 06:16:31.283,38.77,136.43
237,13.65,2016-08-22 08:28:07.923,2016-08-22 22:07:08.520,31.76,181.67
238,36.01,2016-08-23 02:44:12.503,2016-08-24 14:44:38.323,30.04,125.74
239,20.21,2016-08-24 14:44:41.393,2016-08-25 10:57:16.553,48.76,120.0
240,7.99,2016-08-25 11:08:38.173,2016-08-25 19:07:55.397,49.05,191.43
241,11.56,2016-08-25 19:08:24.587,2016-08-26 06:41:55.963,35.98,169.18
242,13.34,2016-08-26 06:41:59.327,2016-08-26 20:02:05.607,36.6,166.39
243,22.53,2016-08-26 23:40:31.630,2016-08-27 22:12:34.673,47.31,130.66
244,28.36,2016-08-28 00:20:05.333,2016-08-29 04:41:33.663,37.13,181.74
245,22.17,2016-08-29 04:41:39.977,2016-08-30 02:52:01.083,33.56,149.98
246,13.63,2016-08-30 02:52:04.630,2016-08-30 16:29:39.387,31.31,135.07
247,20.92,2016-08-30 16:29:44.223,2016-08-31 13:25:09.207,46.32,185.02
248,15.52,2016-08-31 13:25:13.647,2016-09-01 04:56:18.733,33.48,159.41
249,16.34,2016-09-01 04:56:24.030,2016-09-01 21:16:54.250,30.07,142.74
250,7.72,2016-09-01 21:17:01.837,2016-09-02 05:00:27.153,42.48,176.6
251,16.24,2016-09-02 05:00:32.373,2016-09-02 21:14:45.963,38.91,122.81
252,20.22,2016-09-02 21:42:40.260,2016-09-03 17:55:43.880,48.26,117.0
253,3.54,2016-09-03 18:15:02.640,2016-09-03 21:47:23.230,48.71,136.34
254,3.77,2016-09-03 21:55:09.207,2016-09-04 01:41:14.727,35.62,121.89
255,27.16,2016-09-04 02:59:54.810,2016-09-05 06:09:20.307,34.12,169.51
256,23.85,2016-09-05 06:09:51.830,2016-09-06 06:00:34.430,42.56,153.43
257,32.02,2016-09-06 06:00:41.133,2016-09-07 14:01:51.643,32.37,181.61
258,12.46,2016-09-06 06:29:40.667,2016-09-06 18:57:15.870,30.79,179.58
259,16.05,2016-09-07 14:01:59.987,2016-09-08 06:05:13.147,49.71,139.58
260,22.82,2016-09-08 06:05:19.777,2016-09-09 04:54:41.397,35.41,159.88
261,8.99,2016-09-09 04:54:47.167,2016-09-09 13:54:23.193,47.09,193.89
262,11.67,2016-09-09 13:54:28.550,2016-09-10 01:34:32.677,32.08,180.64
263,10.05,2016-09-10 02:07:26.800,2016-09-10 12:10:10.210,44.96,104.41
264,8.75,2016-09-10 12:11:39.190,2016-09-10 20:56:49.437,31.5,182.29
265,33.27,2016-09-10 21:12:07.850,2016-09-12 06:28:22.020,42.2,105.65
266,23.55,2016-09-12 06:28:27.197,2016-09-13 06:01:30.477,44.95,129.39
267,9.42,2016-09-13 06:01:36.190,2016-09-13 15:26:55.040,48.55,110.11
268,6.05,2016-09-13 15:27:00.720,2016-09-13 21:30:10.563,44.18,124.02
269,26.19,2016-09-13 21:47:16.503,2016-09-14 23:58:38.023,38.68,124.98
270,41.23,2016-09-15 00:43:20.063,2016-09-16 17:57:19.963,39.94,162.17
271,42.18,2016-09-16 20:25:31.143,2016-09-18 14:36:30.313,47.65,196.24
272,24.06,2016-09-18 14:39:15.433,2016-09-19 14:42:48.017,30.05,100.21
273,14.35,2016-09-19 14:42:54.677,2016-09-20 05:03:58.843,39.27,154.72
274,11.66,2016-09-20 05:04:12.873,2016-09-20 16:44:05.797,48.2,178.71
275,17.8,2016-09-20 16:44:11.733,2016-09-21 10:31:56.587,31.6,104.47
276,31.36,2016-09-21 13:31:22.820,2016-09-22 20:53:14.223,47.5,161.89
277,31.81,2016-09-21 20:33:44.717,2016-09-23 04:22:36.487,43.21,103.39
278,65.32,2016-09-22 21:29:44.430,2016-09-25 14:48:55.440,49.39,118.02
279,17.95,2016-09-23 04:23:33.027,2016-09-23 22:20:32.487,40.14,139.14
280,9.32,2016-09-23 23:21:37.283,2016-09-24 08:40:34.607,41.75,118.62
281,14.79,2016-09-24 08:40:38.510,2016-09-24 23:28:10.183,35.21,196.41
282,9.17,2016-09-24 23:44:17.537,2016-09-25 08:54:27.193,46.71,132.41
283,8.51,2016-09-25 14:56:16.243,2016-09-25 23:26:38.133,39.36,113.74
284,10.29,2016-09-25 23:42:38.713,2016-09-26 10:00:18.800,41.8,139.06
285,17.81,2016-09-26 10:00:24.577,2016-09-27 03:49:02.067,49.53,117.93
